number,value,datetime_start,datetime_complete,duration,params_LadderTradePBMult,params_LadderTradeSLPct,params_LadderTradeSpotThreshold,params_TargetLadderTradePremium,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
22,1.7963709639677123,2026-03-06 11:04:09.490308,2026-03-06 11:05:16.554775,0 days 00:01:07.064467,3.0,50,2.0,50,57.9781006482142,519.0,1.51023690182697,0.114960460626331,468772.5,0.252408477842004,COMPLETE
23,1.7963709639677123,2026-03-06 11:05:16.555236,2026-03-06 11:06:23.256148,0 days 00:01:06.700912,3.0,50,2.0,50,57.9781006482142,519.0,1.51023690182697,0.114960460626331,468772.5,0.252408477842004,COMPLETE
24,1.474856003897226,2026-03-06 11:06:23.256639,2026-03-06 11:07:35.053071,0 days 00:01:11.796432,2.0,50,2.0,50,42.2636507271989,572.0,1.41983915135495,0.0990733108835871,364507.5,0.377622377622378,COMPLETE
25,2.1811144269107734,2026-03-06 11:07:35.053773,2026-03-06 11:08:49.153908,0 days 00:01:14.100135,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
26,0.9157758633673665,2026-03-06 11:08:49.154352,2026-03-06 11:10:16.228862,0 days 00:01:27.074510,4.0,20,0.5,50,30.846400696104197,814.0,1.32550995984149,0.0768569302379315,183592.5,0.34029484029484,COMPLETE
27,0.9380518505308115,2026-03-06 11:10:16.229305,2026-03-06 11:12:17.841076,0 days 00:02:01.611771,4.0,20,1.0,8,6.98486784797925,733.0,2.23192010692011,0.0633598674869218,124436.25,0.188267394270123,COMPLETE
28,1.3471090917919197,2026-03-06 11:12:17.841634,2026-03-06 11:13:40.380387,0 days 00:01:22.538753,4.0,20,1.5,30,33.2858450588956,697.0,1.74625689519307,0.090571394530503,298305.0,0.136298421807747,COMPLETE
29,1.5500093516850737,2026-03-06 11:13:40.380847,2026-03-06 11:14:44.955529,0 days 00:01:04.574682,4.0,0,2.0,50,120.468184810097,421.0,1.31703038583421,0.090470686295579,416805.0,0.31353919239905,COMPLETE
30,2.1811144269107734,2026-03-06 11:14:44.955910,2026-03-06 11:15:59.927840,0 days 00:01:14.971930,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
31,2.1811144269107734,2026-03-06 11:15:59.928295,2026-03-06 11:17:14.496011,0 days 00:01:14.567716,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
32,2.1811144269107734,2026-03-06 11:17:14.496370,2026-03-06 11:18:28.386180,0 days 00:01:13.889810,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
33,2.1811144269107734,2026-03-06 11:18:28.386684,2026-03-06 11:19:41.546960,0 days 00:01:13.160276,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
34,2.1811144269107734,2026-03-06 11:19:41.547403,2026-03-06 11:20:54.517629,0 days 00:01:12.970226,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
35,2.1811144269107734,2026-03-06 11:20:54.518101,2026-03-06 11:22:08.340091,0 days 00:01:13.821990,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
36,0.6088342871564916,2026-03-06 11:22:08.340612,2026-03-06 11:24:20.298792,0 days 00:02:11.958180,4.0,20,0.5,8,6.2566291140566,821.0,1.60875278751195,0.0534040219203955,57326.25,0.305724725943971,COMPLETE
37,1.0799330571983536,2026-03-06 11:24:20.299251,2026-03-06 11:25:44.856314,0 days 00:01:24.557063,2.5,20,2.0,30,36.8823513068638,716.0,1.5627386413742,0.0736192005759435,224940.0,0.167597765363128,COMPLETE
38,0.8979319431530636,2026-03-06 11:25:44.856776,2026-03-06 11:27:16.740037,0 days 00:01:31.883261,2.0,20,2.0,15,11.783932649724,722.0,1.73730632173725,0.102355278638344,140437.5,0.14819944598338,COMPLETE
39,1.9614647018626457,2026-03-06 11:27:16.740471,2026-03-06 11:28:33.481127,0 days 00:01:16.740656,4.0,20,1.5,50,55.5369024817964,693.0,1.81714743200951,0.0947052948563496,505230.0,0.152958152958153,COMPLETE
40,1.032768407383271,2026-03-06 11:28:33.481560,2026-03-06 11:30:00.055428,0 days 00:01:26.573868,2.5,20,1.0,30,34.296388086852,740.0,1.53073774357233,0.0696431168891428,211020.0,0.213513513513514,COMPLETE
