number,value,datetime_start,datetime_complete,duration,params_GammaBurstBearMinVIX,params_GammaBurstProfitBookMultiple,params_GammaBurstSLPct,params_TargetGammaBurstPremium,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
26,0.8001106634906368,2026-03-05 11:18:22.826619,2026-03-05 11:20:05.422869,0 days 00:01:42.596250,0,0.0,50,50,62.4345241140999,291.0,1.38111758499748,0.0880760515131017,150363.75,0.223367697594502,COMPLETE
27,0.3587452274209302,2026-03-05 11:20:05.422912,2026-03-05 11:21:23.153365,0 days 00:01:17.730453,11,2.0,30,20,13.006458801274201,418.0,1.0971918660949,0.0319801575080609,13173.75,0.241626794258373,COMPLETE
28,0.2015480410928988,2026-03-05 11:21:23.153417,2026-03-05 11:22:23.580994,0 days 00:01:00.427577,15,0.0,30,10,20.08875,299.0,0.831013916500993,-0.0301337305182487,-10837.5000000001,0.0501672240802676,COMPLETE
29,0.045424666355046314,2026-03-05 11:22:23.581037,2026-03-05 11:23:27.934586,0 days 00:01:04.353549,13,0.0,50,15,43.506916613929704,287.0,0.699930899458712,-0.084517742306916,-39082.5,0.0871080139372822,COMPLETE
30,0.32413149366625316,2026-03-05 11:23:27.934655,2026-03-05 11:24:36.315392,0 days 00:01:08.380737,0,0.0,30,15,21.218817367089702,358.0,1.07739362600967,0.0102727145785221,8587.5,0.0642458100558659,COMPLETE
31,0.8175435705118391,2026-03-05 11:24:36.315450,2026-03-05 11:26:17.851855,0 days 00:01:41.536405,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
32,0.8175435705118391,2026-03-05 11:26:17.851896,2026-03-05 11:28:01.479005,0 days 00:01:43.627109,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
33,0.6512798214905778,2026-03-05 11:28:01.479048,2026-03-05 11:29:50.061985,0 days 00:01:48.582937,0,2.5,30,50,52.2876750339585,383.0,1.30694767798064,0.0804605273210207,103331.25,0.214099216710183,COMPLETE
34,0.6751593073660446,2026-03-05 11:29:50.062029,2026-03-05 11:31:32.332540,0 days 00:01:42.270511,11,0.0,30,50,56.3484992055261,337.0,1.34204945376176,0.068551039548047,111892.5,0.160237388724036,COMPLETE
35,0.17016360913099926,2026-03-05 11:31:32.332581,2026-03-05 11:32:33.765208,0 days 00:01:01.432627,0,1.5,50,5,12.181808524266401,405.0,0.758900367113464,-0.0941616394185679,-10590.0,0.318518518518519,COMPLETE
36,0.4824935779084342,2026-03-05 11:32:33.765260,2026-03-05 11:34:12.811266,0 days 00:01:39.046006,15,2.5,30,50,33.8234061640374,306.0,1.18969414712531,0.0541641366185241,52237.5,0.212418300653595,COMPLETE
37,0.3565110865332087,2026-03-05 11:34:12.811339,2026-03-05 11:35:12.911877,0 days 00:01:00.100538,0,2.0,0,20,18.8514654605452,278.0,1.07384023229117,0.0284675138387997,16402.5,0.428057553956835,COMPLETE
38,0.5935446458030524,2026-03-05 11:35:12.911929,2026-03-05 11:36:50.165242,0 days 00:01:37.253313,13,0.0,30,50,45.3298168145158,305.0,1.28904669186424,0.0638596856118014,85173.7499999999,0.167213114754098,COMPLETE
39,0.6166513258475833,2026-03-05 11:36:50.165292,2026-03-05 11:38:43.663986,0 days 00:01:53.498694,11,2.5,30,50,51.6178179251064,381.0,1.28033178529963,0.0742600917819093,94166.25,0.21259842519685,COMPLETE
40,0.0880362616870982,2026-03-05 11:38:43.664038,2026-03-05 11:39:41.434177,0 days 00:00:57.770139,0,1.5,0,5,20.713190185007697,314.0,0.659414225941421,-0.159024108290445,-19841.2500000001,0.410828025477707,COMPLETE
41,0.8175435705118391,2026-03-05 11:39:41.434229,2026-03-05 11:41:31.595158,0 days 00:01:50.160929,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
42,0.8175435705118391,2026-03-05 11:41:31.595229,2026-03-05 11:43:19.388171,0 days 00:01:47.792942,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
43,0.8175435705118391,2026-03-05 11:43:19.388239,2026-03-05 11:45:05.438656,0 days 00:01:46.050417,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
44,0.8175435705118391,2026-03-05 11:45:05.438722,2026-03-05 11:46:53.351868,0 days 00:01:47.913146,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
45,0.32165726772488157,2026-03-05 11:46:53.351933,2026-03-05 11:47:57.701087,0 days 00:01:04.349154,13,2.0,50,10,9.673595182966881,345.0,1.05396944068034,0.0188580619294511,4331.25,0.272463768115942,COMPLETE
46,0.5091295505430669,2026-03-05 11:47:57.701155,2026-03-05 11:49:06.717292,0 days 00:01:09.016137,0,0.0,30,20,21.7291730274771,359.0,1.32628254930954,0.0478461592715897,48821.25,0.0947075208913649,COMPLETE
47,0.6902847101115408,2026-03-05 11:49:06.717377,2026-03-05 11:50:46.189665,0 days 00:01:39.472288,0,3.0,0,50,55.500955839561406,244.0,1.23714748690224,0.0780029214266429,122384.999999999,0.385245901639344,COMPLETE
48,0.5746675572598576,2026-03-05 11:50:46.189732,2026-03-05 11:51:56.915716,0 days 00:01:10.725984,0,0.0,30,25,31.4714820554636,347.0,1.37513502496688,0.0601113358048638,69022.4999999999,0.106628242074928,COMPLETE
49,0.3766343582487708,2026-03-05 11:51:56.915774,2026-03-05 11:53:56.114689,0 days 00:01:59.198915,11,1.5,30,50,27.0166612074359,439.0,1.08217429031858,0.0315997784812258,24858.7500000001,0.357630979498861,COMPLETE
50,-0.060826642980101805,2026-03-05 11:53:56.114748,2026-03-05 11:54:52.213593,0 days 00:00:56.098845,15,0.0,70,5,34.18875,237.0,0.357369422710933,-0.238863818805721,-34188.75,0.0337552742616034,COMPLETE
51,0.8175435705118391,2026-03-05 11:54:52.213644,2026-03-05 11:56:40.038407,0 days 00:01:47.824763,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
52,0.8175435705118391,2026-03-05 11:56:40.038459,2026-03-05 11:58:28.877189,0 days 00:01:48.838730,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
53,0.8175435705118391,2026-03-05 11:58:28.877273,2026-03-05 12:00:17.811123,0 days 00:01:48.933850,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
54,0.8175435705118391,2026-03-05 12:00:17.811184,2026-03-05 12:02:05.225600,0 days 00:01:47.414416,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
55,0.36717228312325567,2026-03-05 12:02:05.225663,2026-03-05 12:03:17.280802,0 days 00:01:12.055139,0,3.0,30,15,17.9344012767996,395.0,1.13480815762185,0.0356751321892132,14625.0,0.149367088607595,COMPLETE
56,0.8175435705118391,2026-03-05 12:03:17.280863,2026-03-05 12:05:05.763928,0 days 00:01:48.483065,0,0.0,30,50,56.854439038039,339.0,1.45953743883298,0.0863450544582054,149317.5,0.162241887905605,COMPLETE
57,0.1593408084940722,2026-03-05 12:05:05.763980,2026-03-05 12:06:04.940548,0 days 00:00:59.176568,0,0.0,70,10,34.284704338735,287.0,0.835930167073398,-0.0364138014546788,-19665.0000000003,0.0801393728222996,COMPLETE
58,0.3288286785248624,2026-03-05 12:06:04.940601,2026-03-05 12:07:19.409264,0 days 00:01:14.468663,13,2.0,30,25,19.131968440792598,378.0,1.05922540408008,0.0203139153740976,9330.0,0.235449735449735,COMPLETE
59,0.8001106634906368,2026-03-05 12:07:19.409306,2026-03-05 12:08:57.725063,0 days 00:01:38.315757,0,0.0,50,50,62.4345241140999,291.0,1.38111758499748,0.0880760515131017,150363.75,0.223367697594502,COMPLETE
