trial,SLF,SWING,POP,BPR,NetProfit,Sharpe,MaxDDPct,Calmar,PF,WinRate,Trades,AvgWin,AvgLoss,MaxDDAbs
0,1.0,1.25,90.0,0.3,155052.76,4.6038,1.39,3.2849,1.99,66.16,396,1188.37,-1166.41,9242.62
1,1.5,0.5,90.0,0.3,109111.81,4.4166,0.9,3.8886,2.1,58.45,503,709.79,-476.4,5494.42
2,1.0,0.5,90.0,0.3,109232.03,4.4226,0.9,3.8929,2.1,58.45,503,709.79,-475.82,5494.42
3,1.0,1.0,90.0,0.3,142312.97,4.4463,1.23,3.4927,1.97,64.78,423,1054.05,-983.2,7978.52
4,1.25,1.0,90.0,0.3,136403.43,4.1584,1.37,3.0217,1.89,65.64,422,1047.34,-1060.08,8838.93
5,1.5,0.75,90.0,0.3,148180.35,4.8882,1.02,4.3584,2.21,63.23,446,961.16,-749.18,6657.31
6,1.25,0.5,90.0,0.3,109111.81,4.4166,0.9,3.8886,2.1,58.45,503,709.79,-476.4,5494.42
7,1.5,1.0,90.0,0.3,132665.39,4.0139,1.47,2.7561,1.84,65.64,422,1047.34,-1085.85,9425.0
8,1.5,0.75,90.0,0.3,148180.35,4.8882,1.02,4.3584,2.21,63.23,446,961.16,-749.18,6657.31
9,1.0,0.5,90.0,0.3,109232.03,4.4226,0.9,3.8929,2.1,58.45,503,709.79,-475.82,5494.42
10,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
11,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
12,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
13,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
14,0.75,0.75,90.0,0.3,142329.87,4.9217,0.98,4.3888,2.15,61.02,449,972.18,-708.83,6350.19
15,0.75,1.25,90.0,0.3,162357.06,5.2137,1.34,3.5486,2.14,64.16,399,1192.61,-999.65,8958.87
